station,city,code
北京,北京市,51
唐山北,唐山市,841
北戴河,秦皇岛市,709
沈阳,沈阳市,788
沈阳南,沈阳市,788
辽中,辽中区,535
锦州南,锦州市,447
蓟州,天津市,848
葫芦岛北,葫芦岛市,346
盘锦北,北镇市,57
沈阳北,沈阳市,788
台安,泰安市,836
秦皇岛,秦皇岛市,709
山海关,秦皇岛市,709
绥中北,葫芦岛市,346
公主岭南,四平市,815
长春,长春市,1134
昌图西,铁岭市,858
铁岭西,银州区,1059
四平东,四平市,815
吉林,吉林市,392
蛟河西,蛟河市,434
敦化,敦化市,184
安图西,安图县,14
延吉西,延吉市,1021
图们北,图们市,873
珲春,珲春市,379
开原西,开原市,472
长春西,长春市,1134
扶余北,松原市,821
哈尔滨西,哈尔滨市,283
宾州,贵港市,279
方正,哈尔滨市,283
高楞,定西市,158
依兰,宜mh,1051
佳木斯,前进区,702
德惠西,长春市,1134
东戴河,葫芦岛市,346
哈尔滨,哈尔滨市,283
肇东,正阳区办事处,1161
安达,新兴街道办事处,990
大庆东,龙凤区,562
齐齐哈尔南,建华区,418
大连北,中山区,1168
瓦房店西,瓦房店市,877
营口东,营口市,1065
鲅鱼圈,营口市,1065
普湾,大连市,131
盖州西,营口市,1065
盘锦,盘锦市,661
滦县,唐山市,841
海城西,海城市,286
鞍山西,铁东区,856
辽阳,辽阳市,533
哈尔滨北,哈尔滨市,283
大庆西,东风街道办事处,163
双城北,双城区,806
南宁东,南宁市,637
广州南,广州市,275
贵阳北,贵阳市,280
郑州,郑州市,1162
许昌东,魏都区,894
漯河西,源汇区,1109
驻马店西,驻马店市,1178
信阳东,阳江市,1036
共青城,九江市,465
永修,九江市,465
南昌西,贤士湖管理处,953
抚州,抚州市,231
南城,抚州市,231
南丰,九江市,465
泰宁,泰宁县,838
将乐,绛县,432
三明北,三明市,745
尤溪,尤溪县,1081
永泰,福州市,228
福州,福州市,228
德安,九江市,465
庐山,九江市,465
瑞昌西,九江市,465
西安北,西安市,925
渭南北,渭南市,893
华山北,渭南市,893
三门峡南,崖底街道,1018
洛阳龙门,洛阳市,582
郑州西,郑州市,1162
郑州东,商都路街道,768
徐州,徐州市,1009
南京,玄武区,1015
常州,常州市,82
无锡,无锡市,906
苏州,苏州市,824
上海,黄浦区,374
宝鸡南,宝鸡市,39
天水南,麦积区,593
定西北,定西市,158
兰州西,西固区,934
成都东,成都市,87
合川,町田市,156
重庆北,渝北区,1090
涪陵北,涪陵区,222
石柱县,石柱县,800
金寨,宿州市,1004
六安,六安市,558
合肥南,望湖街道,884
南京南,南京市,634
镇江,镇江市,1157
昆山南,苏州市,824
上海虹桥,闵行区,616
丹阳,丹阳市,143
潼南,讷河市,645
遂宁,遂宁市,829
汉口,武汉市,917
潜江,潜江市,704
宜昌东,伍家岗区,915
恩施,恩施州,194
利川,立川市,518
丰都,兴义市,1000
武汉,武汉市,917
天门南,天门市,849
仙桃西,仙桃市,951
荆州,荆州市,458
巴东,苗族自治州,615
建始,吉安市,391
长寿北,长寿区,1140
深圳北,深圳市,784
惠州南,惠州市,382
葵潭,揭阳市,437
潮阳,西屯^,941
潮汕,齑ㄊ,265
角美,百色市,32
厦门北,厦门市,759
泉州,鲤城区,514
莆田,荔城区,522
福清,福州市,228
福州南,抚州市,231
罗源,罗源县,580
宁德,蕉城区,436
太姥山,和平^,312
台州,椒江区,433
临海,临海市,545
宁波,鄞州区,1060
庄桥,u市,148
余姚北,余姚市,1088
绍兴东,越城区,1115
绍兴北,越城区,1115
杭州东,杭州市,301
嘉善南,嘉善县,407
金山北,金山区,444
嘉兴南,南湖区,632
海宁西,海宁市,291
余杭,东湖街道,169
宁海,宁海县,654
温岭,温岭市,895
霞浦,宁德市,653
福鼎,福鼎市,224
桐乡,桐乡市,867
汉川,汉川市,296
全椒,滁州市,104
苏州新区,苏州市,824
溧水,南京市,634
瓦屋山,常州市,82
宜兴,宜兴市,1052
湖州,吴兴区,909
德清,荔浦市,523
长兴,汪清县,881
溧阳,常州市,82
句容西,镇江市,1157
漳浦,漳州市,1132
汕尾,城区,94
深圳坪山,深圳市,784
惠东,渠县,725
饶平,潮州市,86
仙游,仙游县,952
厦门,厦门市,759
普宁,揭阳市,437
陆丰,陆丰市,572
诏安,漳州市,1132
漳州,漳州市,1132
云霄,漳州市,1132
临汾西,尧都区,1040
洪洞西,洪洞县,340
灵石东,乐陵市,499
平遥古城,石景山区,794
太原南,太原市,835
阳泉北,盂县,1089
石家庄,石家庄市,793
正定机场,石家庄市,793
高碑店东,保定市,43
北京西,北京市,51
保定东,马尾区,591
定州东,保定市,43
晋中,晋华街道,451
祁县东,齐河县,694
介休东,介休市,438
襄汾西,柳州市,557
闻喜西,漳州市,1132
运城北,盐湖区,1027
霍州东,霍州市,386
太谷西,_南市,832
涿州东,保定市,43
红安西,红安县,335
麻城北,湖北省麻城开发区,347
杭州,杭州市,301
苏州园区,苏州市,824
大英东,遂宁市,829
建宁县北,建宁县,420
晋江,晋江市,452
南昌,南昌市,627
江宁,南京市,634
枝江北,枝江市,1163
扬州,扬州市,1033
泰州,泰州市,839
海安,南通市,640
南通,南通市,640
奉化,奉化区,213
福安,福安市,223
涵江,莆田市,682
松江南,松江区,817
三门县,三门县,744
连江,廉江市,527
惠安,泉州市,728
温州南,亳州市,70
门,礼县,507
闽清北,福州市,228
古田北,古田县,261
延平,南平市,638
南平市,南平市,638
上饶,东市,174
三明,三明市,745
永安南,三明市,745
漳平西,南投h,641
龙岩,新罗区,984
南靖,玄武区,1015
武夷山北,南平市,638
建瓯西,南平市,638
龙山镇,慈溪市,113
赣州,赣州市,248
于都,于都县,1086
瑞金,赣州市,248
长汀南,仙台市,950
冠豸山,龙岩市,567
古田会址,上杭县,774
宾阳,南宁市,637
桂平,贵港市,279
平南南,屏南县,679
藤县,梧州市,912
梧州南,梧州市,912
郁南,云浮市,1117
云浮东,云浮市,1117
肇庆东,肇庆市,1152
佛山西,佛山市,217
桂林北,叠彩区,155
阳朔,桂林市,281
恭城,桂林市,281
贺州,贺州市,322
广宁,肇庆市,1152
中山,中山市,1169
珠海,珠海市,1176
三水南,遵义市,1189
钟山西,久米郡,468
黄石北,花湖街道,351
阳新,汕尾市,766
侯马西,侯马市,342
永济北,永济市,1074
大荔,大理市,130
忻州西,忻府区,975
原平西,原平市,1106
山阴,宇治市,1095
应县,应县,1068
怀仁东,怀仁市,361
杨陵南,咸阳市,957
岐山,山形市,761
咸阳秦都,咸阳市,957
通渭,定西市,158
秦安,灵川县,552
西宁,城中区,97
平安驿,平安区,664
榆中,黄山市,375
东岔,本溪满族自治县,58
海石湾,红古区,336
张掖西,张掖市,1129
高台南,高台县,255
酒泉南,酒泉市,469
嘉峪关南,嘉峪关市,410
民乐,张掖市,1129
乐都,海东市,287
大通西,天台县,853
临泽南,临泽县,550
柳园南,瓜州县,264
哈密,哈密市,284
鄯善北,鄯善县,767
吐鲁番北,高昌区,252
乌鲁木齐,乌鲁木齐市,905
门源,门源回族自治县,602
清水北,酒泉市,469
玉门,玉门市,1100
吐哈,鄯善县,767
瓜州,瓜州县,264
敦煌,敦煌市,185
从江,从江县,114
三江南,三江南,743
桂林西,灵川县,552
怀集,来宾市,490
五通,达川区,116
三都县,三都县,740
贵定县,贵定县,278
榕江,揭阳市,437
都匀东,都匀市,182
龙里北,龙里县,565
龙洞堡,龙洞街道,561
宜宾西,宜宾市,1048
兴文,巴州区,24
毕节,七星关区,691
大方,大方县,122
黔西,千~市,701
贵阳东,南明区,636
镇雄,镇雄县,1159
广州,广州市,275
柳州,城中街道,96
永福南,永福县,1072
桂林,秀峰区,1005
鹿寨北,柳州市,557
兴安北,兴安县,998
全州南,晋江市,452
东安东,永州市,1078
上海南,徐汇区,1008
无锡新区,无锡市,906
安亭北,嘉定区,404
武昌,武汉市,917
惠山,无锡市,906
戚墅堰,常州市,82
阳澄湖,苏州市,824
南充北,顺庆区,813
镇江南,镇江市,1157
丹阳北,丹阳市,143
常州北,常州市,82
苏州北,苏州市,824
无锡东,无锡市,906
瑞安,瑞安市,738
乐清,温州市,897
平阳,来宾市,490
永嘉,永嘉县,1075
绅坊,乐清市,500
苍南,温州市,897
雁荡山,温州市,897
姜堰,永福县,1072
如皋,南通市,640
义乌,金华市,442
金华南,金华市,442
永康南,金华市,442
丽水,丽水市,520
葛店南,华容区,355
鄂州,鄂城区,191
大冶北,大冶市,136
白沙铺,清远市,720
枫林,漳州市,1132
诸暨,神跏,785
武义北,金华市,442
缙云西,北碚区,47
青田,齑ㄊ,265
花湖,花h,352
梅州西,梅州市,599
丰顺东,绵阳市,613
揭阳,揭阳市,437
揭阳机场,N市,510
桐庐,桐庐县,866
建德,建德市,417
千岛湖,乌鲁木齐市,905
绩溪北,鸡冠区,388
黄山北,衢州市,726
婺源,上饶市,775
景德镇北,浮梁县,221
来宾北,来宾市,490
钦州东,钦州市,707
合浦,巢湖市,83
北海,北海市,48
贵港,贵港市,279
南宁,南宁市,637
南江口,云浮市,1117
百色,百色市,32
田东北,百色市,32
平果,百色市,32
隆安东,隆安县,568
南宁西,南宁市,637
田阳,彰化h,1131
昆明南,昆明市,487
普者黑,丘北县,724
广南县,广南县,271
富宁,札幌市,1124
弥勒,弥勒市,606
昆明,昆明市,487
楚雄,楚雄市,105
南华,百色市,32
大理,大理市,130
珠琳,郑州市,1162
广通北,禄丰县,575
祥云,温县,896
石林西,昆明市,487
禄丰南,禄丰县,575
云南驿,祥云县,965
丽江,丽江市,519
延安,宝塔区,41
甘泉北,甘泉县,246
富县东,富县,242
蒲城东,南平市,638
黄陵南,黄陵县,371
南部,南充市,628
阆中,阆中市,495
蓬溪,红星乡,339
苍溪,冰溪镇,67
重庆西,沙坪坝区,754
营山,英山县,1062
蓬安,南充市,628
南充,南充市,628
广安南,宝塔区,41
达州,达州市,118
武胜,越前市,1116
岳池,广安市,270
成都,成都市,87
土溪,渠县,725
孝感东,孝感市,971
汤逊湖,武汉市,917
庙山,含山县,295
普安,浦安市,685
纸坊东,直方市,1165
山坡东,武汉市,917
横沟桥东,咸安区,954
咸宁南,咸宁市,956
贺胜桥东,石^,791
南湖东,武汉市,917
天河街,武汉市,917
槐荫,孝感市,971
天河机场,武汉市,917
后湖,临沂市,549
咸宁东,咸宁市,956
随州,随州市,828
枣阳,枣阳市,1122
襄阳,襄城区,962
土地堂东,新兴县,991
乌龙泉南,武汉市,917
闵集,南昌市,627
安陆,安陆市,11
襄州,襄州区,964
谷城,石景山区,794
十堰,茅箭区,595
云梦,洛阳市,582
阳曲西,太原市,835
江都,衢州市,726
富阳,杭州市,301
马鞍山东,马鞍山市,586
当涂东,雨山区,1098
芜湖,芜湖市,907
铜陵,铜陵市,870
池州,池州市,98
安庆,安庆市,12
繁昌西,米原市,608
弋江,芜湖市,907
江宁西,南京市,634
无为,武威市,921
铜陵北,铜陵市,870
巢湖东,半汤街道,35
毛陈,孝南区,972
金银潭,吴忠市,910
济南,济南市,397
淄博,淄博市,1184
青州市,青州市,714
潍坊,潍坊市,890
高密,潍坊市,890
胶州北,青岛市,713
青岛北,青岛市,713
青岛,青岛市,713
济南西,槐荫区,366
齐河,鹤壁市,324
禹城东,德州市,151
平原东,平原县,674
昌乐,韶关市,778
即墨北,凉山彝族自治州,528
莱阳,烟台市,1019
海阳北,烟台市,1019
烟台,烟台市,1019
桃村北,烟台市,1019
济南东,天桥区,850
烟台南,烟台市,1019
威海北,威海市,886
威海,威海市,886
荣成,威海市,886
牟平,翠屏区,115
大明湖,历下区,517
夏格庄,阳朔县,1038
文登东,威海市,886
九江,九江市,465
双洋,阜阳市,234
雁石南,龙岩市,567
会昌北,赣州市,248
延平西,南平市,638
北京南,右安门,1085
霸州西,廊坊市,496
白沟,庆阳市,722
白洋淀,沧州市,73
徐水,溆浦县,1011
保定,保定市,43
唐山,唐山市,841
天津,和平区,311
天津西,红桥区,338
胜芳,廊坊市,496
正定,石家庄市,793
滨海西,滨海新区,64
滨海北,滨州市,66
滦河,承德市,90
定州,保定市,43
呼和浩特东,呼和浩特市,343
呼和浩特,呼和浩特市,343
包头东,包头市,38
包头,包头市,38
察素齐,呼和浩特市,343
萨拉齐,包头市,38
乌兰察布,乌兰察布市,903
卓资东,乌兰察布市,903
旗下营南,乌兰察布市,903
兴和北,乌兰察布市,903
汉中,汉台区,297
城固北,三好郡,741
洋县西,洋县,1039
齐齐哈尔,建华区,418
杜尔伯特,泰康镇,837
鄂尔多斯,康巴什区,475
东胜东,东胜区,173
准格尔,准格尔旗,1181
托克托东,呼和浩特市,343
新会,河池市,316
台山,江门市,429
阳江,阳江市,1036
电白,茂名市,596
茂名,茂名市,596
吴川,吴川市,908
湛江西,湛江市,1127
阳西,阳江市,1036
恩平,江门市,429
东方,东方市,162
畲江北,江海街道,425
建桥,梅州市,599
福田,深圳市,784
汕头,汕头市,765
广州东,广州市,275
东莞,莞城街道,267
常平,常平镇,81
本溪,平山区,670
丹东,振兴区,1156
南芬北,南芬区,631
通远堡西,凤城市,212
凤城东,宜春市,1050
五龙背东,振安区,1155
本溪新城,溪湖区,945
金州,古塔区,260
登沙河,金州区,445
杏树屯,四平市,815
城子坦,普兰店区,687
庄河北,庄河市,1179
大连,中山区,1168
东港北,东港市,166
大孤山,浜松市,36
皮口,林h,1121
北井子,东港市,166
青堆,庄河市,1179
花园口,郑州市,1162
青岛西,青岛市,713
董家口,青岛市,713
日照西,日照市,730
岚山西,日照市,730
防城港北,防城港市,200
兴业,兴业县,999
玉林,榆阳区,1092
陆川,上益城郡,776
亚布力西,哈尔滨市,283
牡丹江,东安区,159
绥芬河,阜宁镇,232
尚志南,行田市,300
阿城北,广安市,270
帽儿山西,七星区,692
海林北,海林市,289
苇河西,合川区,304
一面坡北,哈尔滨市,283
横道河子东,双阳区,810
穆棱,穆棱市,622
绥阳,东宁市,171
新香坊北,哈尔滨市,283
乌鲁木齐南,乌鲁木齐市,905
石家庄北,石家庄市,793
太原,太原市,835
吕梁,离石区,505
西安,西安市,925
宝鸡,宝鸡市,39
凤县,奉贤区,215
两当,两当县,531
徽县,辉县市,380
略阳,汉中市,299
广元,广元市,274
绵阳,绵阳市,613
德阳,德阳市,150
江油,绵阳市,613
邢台,邢台市,996
邯郸,邯郸市,294
安阳,安阳市,15
新乡,红旗区,337
安康,安康市,10
万源,万源市,879
渠县,渠县,725
广安,宝塔区,41
阿城,阿城区,1
尚志,哈尔滨市,283
一面坡,哈尔滨市,283
苇河,宝鸡市,39
亚布力,哈尔滨市,283
横道河子,双阳区,810
海林,海林市,289
松江,松江市,818
嘉兴,嘉兴市,408
海宁,海宁市,291
金华,金华市,442
衢州,衢州市,726
鹰潭,鹰潭市,1063
吉安,吉安市,391
井冈山,吉安市,391
茶陵南,茶陵县,76
攸县南,攸县,1080
衡阳,衡阳市,333
祁东,南通市,640
祁阳,巢湖市,83
永州,冷水滩区,504
弋阳,益阳市,1057
锦州,古塔区,260
通辽,西门街道办,938
白城,洮北区,842
泰来,忠县,1172
镇赉,白城市,25
通榆,吉野郡,394
太平川,A路市,110
葫芦岛,葫芦岛市,346
汾阳,汾阳市,207
吴堡,江门市,429
绥德,花h,352
子长,子长市,1185
平顶山,卫东区,891
南阳,南阳市,643
当阳,当阳市,144
荆门,荆门市,457
漯河,源汇区,1109
洛阳,洛阳市,582
渭南,渭南市,893
咸阳,咸阳市,957
杨陵,六安市,558
蔡家坡,彝良县,1053
黎塘,南宁市,637
容县,容县,732
岑溪,梧州市,912
梧州,梧州市,912
江华,荔浦市,523
江永,永州市,1078
道州,衡阳市,333
零陵,永州市,1078
株洲,株洲市,1177
萍乡,凭祥市,675
新余,新余市,992
咸宁,咸宁市,956
赤壁,赤壁市,100
长沙,芙蓉区,220
韶关东,韶关市,778
深圳,深圳市,784
郴州,苏仙区,823
江山,衢州市,726
龙川,龃ㄊ,811
河源,河源市,320
惠州,惠州市,382
东莞东,常平镇,81
沧州,沧州市,73
德州,德州市,151
兰州,广武门街道,273
陇西,定西市,158
甘谷,柳州市,557
天水,秦州区,710
蚌埠,蚌埠市,37
昆山,苏州市,824
开封,相国寺街道,958
定西,定西市,158
商丘,梁园区,530
岳阳,岳阳市,1113
信阳,负忧,790
许昌,魏都区,894
鹤壁,鹤壁市,324
四平,四平市,815
霸州,廊坊市,496
驻马店,驻马店市,1178
旬阳,贵港市,279
瓦房店,瓦房店市,877
大石桥,营口市,1065
鞍山,铁东区,856
普兰店,普兰店区,687
熊岳城,宇城市,1094
盖州,营口市,1065
兴城,葫芦岛市,346
绥中,葫芦岛市,346
邹城,济宁市,398
泰山,泰安市,836
兖州,济宁市,398
滕州,枣庄市,1123
枣庄西,枣庄市,1123
宿州,苏州市,824
绍兴,越城区,1115
上虞,上越市,777
余姚,余姚市,1088
醴陵,醴陵市,516
宜春,宜春市,1050
樟树,宜春市,1050
丰城,宜春市,1050
马鞍山,马鞍山市,586
宣城,宣城市,1012
绩溪县,宣城市,1012
黄山,黄山市,375
景德镇,景德镇市,460
英德,清远市,720
瑞昌,九江市,465
涿州,保定市,43
丹霞山,韶关市,778
南雄,韶关市,778
大余,大月市,139
分宜,分宜县工业园,206
交城,蕉城区,436
文水,旺苍县,882
靖边,舟曲县,1174
定边,定边县,157
中卫,沙坡头区,755
白银西,白银区,31
济宁,济宁市,398
菏泽,菏泽市,321
商丘南,梁园区,530
阜阳,阜阳市,234
双城堡,双城区,806
扶余,富士吉田市,240
铁岭,银州区,1059
衡水,衡水市,332
聊城,聊城市,536
沟帮子,北镇市,57
德惠,德惠市,149
陶赖昭,松原市,821
巩义,巩义市,258
三门峡,崖底街道,1018
武威,武威市,921
张掖,张掖市,1129
嘉峪关,嘉峪关市,410
柳园,苏州市,824
高台,高台县,255
金昌,金川区,441
伊宁,伊宁市,1044
精河南,精河县,459
奎屯,兵团一三零团,68
沙湾县,兵团一四二团,69
石河子,石河子市,792
砀山,宿州市,1004
民权,武威市,921
沭阳,廊坊市,496
淮安,淮安市,363
阜宁,札幌市,1124
盐城,盐城市,1026
宣汉,宣汉县,1013
紫阳,资阳市,1182
商城,黄山市,375
合肥,笔架山街道,59
巢湖,半汤街道,35
固始,羽曳野市,1096
潢川,信阳市,994
公主岭,四平市,815
开原,开原市,472
昌黎,G早市,423
对青山,哈尔滨市,283
宋,商丘市,770
高邑,黎平县,506
林口,漳州市,1132
鸡西,鸡冠区,388
吐鲁番,老城街道,497
鄯善,吐鲁番市,874
酒泉,西南街街道,939
西峡,温州市,897
内乡,南阳市,643
镇平,来凤县,491
石门县北,常德市,80
张家界,永定区,1071
吉首,阜阳市,234
怀化,鹤城区,325
来宾,来宾市,490
慈利,慈利县,112
邓州,南阳市,643
武威南,渭南市,893
哈尔滨东,哈尔滨市,283
山市,乐山市,501
青铜峡,吴忠市,910
银川,银川市,1058
石嘴山,石嘴山市,801
惠农,石嘴山市,801
乌海,滨河街道办事处,65
临河,长春市,1134
集宁南,乌兰察布市,903
商都,锡林郭勒盟,944
化德,川崎市,107
正镶白旗,锡林郭勒盟,944
桑根达来,锡林郭勒盟,944
大板,大阪市,120
林东,临沂市,549
查布嘎,阿鲁科尔沁旗,7
开鲁,防城港市,200
甘旗卡,通辽市,862
彰武,惠州市,382
昌图,惠州市,382
渭南西,渭南市,893
武功,咸阳市,957
兰考,兰考县,493
广德,宣城市,1012
长兴南,长兴县,1143
德清西,_南市,832
玉山,南投h,641
田林,成都市,87
兴义,兴义市,1000
威舍,|^,179
罗平,古蔺县,259
师宗,南通市,640
安仁,成都市,87
炎陵,黄山市,375
锡林浩特,锡林郭勒盟,944
二连,两当县,531
阿巴嘎旗,锡林郭勒盟,944
赛乌苏,乌兰察布市,903
赛汗塔拉,锡林郭勒盟,944
苏尼特左旗,锡林郭勒盟,944
朱日和,锡林郭勒盟,944
白音察干,乌兰察布市,903
燕郊,廊坊市,496
玉田县,唐山市,841
乌拉特前旗,额尔登布拉格苏木,188
乌海西,三道坎街道办,739
汝州,汝州市,735
清水,静市,463
临泽,h野市,1110
山丹,天水市,852
天祝,天草郡,846
永登,云龙县,1118
京山,荆门市,457
钟祥,荆门市,457
平度,青岛市,713
胶州,青岛市,713
蓝村,惠州市,382
东台,盐城市,1026
兰溪,金华市,442
兴国,拜泉县,34
常德,常德市,80
益阳,益阳市,1057
兴宁,梅州市,599
梅州,梅州市,599
华城,梅州市,599
大埔,大埔^,132
潮州,潮州市,86
丰顺,绵阳市,613
眉山,眉山市,597
峨眉,九江市,465
越西,沼田市,1148
普雄,凉山彝族自治州,528
西昌,凉山彝族自治州,528
冕宁,德阳市,150
喜德,猎德街道,538
甘洛,凉山彝族自治州,528
汉源,汉源县,298
燕岗,延市,1020
彭山,九江市,465
攀枝花,东区,172
米易,米易县,607
德昌,肇东市,1151
西昌南,凉山彝族自治州,528
峨边,峨边彝族自治县,186
成都南,成都市,87
宣威,宣威市,1014
曲靖,麒麟区,698
喀什,喀什市,471
阿图什,阿图什市,8
巴楚,津山市,446
阿克苏,阿克苏市,3
新和,广州市,275
库车,库车市,483
轮台,巴音郭楞蒙古自治州,22
库尔勒,巴音郭楞蒙古自治州,22
和田,和田市,314
墨玉,华容县,356
皮山,维吾尔自治区,889
叶城,长宁区,1137
莎车,莎车县,758
英吉沙,疏勒县,804
焉耆,巴音郭楞蒙古自治州,22
和硕,无锡市,906
天津南,N蚴,512
徐州东,徐州市,1009
蚌埠南,蚌埠市,37
德州东,德州市,151
泾县,衡水市,332
沧州西,沧州市,73
曲阜东,济宁市,398
宿州东,苏州市,824
玉山南,上饶市,775
鹰潭北,鹰潭市,1063
泰安,泰安市,836
滕州东,枣庄市,1123
进贤南,南昌市,627
滁州,滁州市,104
枣庄,枣庄市,1123
廊坊,廊坊市,496
龙游,衢州市,726
衡水北,衡水市,332
定远,环翠区,367
抚州东,抚州市,231
邢台东,邢台市,996
安阳东,安阳市,15
岳阳东,岳阳楼区,1112
长沙南,雨花区,1097
衡山西,南岳,644
郴州西,北湖区,49
清远,清远市,720
邯郸东,邯郸市,294
新乡东,红旗区,337
耒阳西,三顺街道,746
英德西,清远市,720
韶关,韶关市,778
株洲西,天元区,854
鹤壁东,鹤壁市,324
汨罗东,汨罗市,610
衡阳东,衡阳市,333
虎门,虎门镇,349
乐昌东,乐昌市,498
怀化南,鹤城区,325
安顺西,安顺市,13
盘州,六盘水市,559
曲靖北,沾益区,1125
邵阳,邵阳市,780
娄底南,娄底市,571
淮南东,淮南市,365
水家湖,八街市,19
淄博北,淄博市,1184
青州市北,潍坊市,890
潍坊北,潍坊市,890
